DocType: Accounting Period,Period Name,Nama Periode
apps/erpnext/erpnext/accounts/doctype/pos_profile/pos_profile.py,User {0} doesn't have any default POS Profile. Check Default at Row {1} for this User.,Pengguna {0} tidak memiliki Profil POS standar. Cek Standar di Baris {1} untuk Pengguna ini.
DocType: Quality Meeting Minutes,Quality Meeting Minutes,Risalah Rapat Kualitas
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Employee Referral,Rujukan Karyawan
DocType: Student Group,Set 0 for no limit,Set 0 untuk tidak ada batas
DocType: Cost Center,rgt,rgt
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,The day(s) on which you are applying for leave are holidays. You need not apply for leave.,Hari (s) yang anda lamar cuti adalah hari libur. Anda tidak perlu mengajukan cuti.
DocType: Customer,Primary Address and Contact Detail,Alamat Utama dan Rincian Kontak
apps/erpnext/erpnext/accounts/doctype/payment_request/payment_request.js,Resend Payment Email,Kirim ulang Email Pembayaran
apps/erpnext/erpnext/templates/pages/projects.html,New task,Tugas baru
DocType: Clinical Procedure,Appointment,Perjanjian
apps/erpnext/erpnext/config/buying.py,Other Reports,Laporan Lainnya
apps/erpnext/erpnext/public/js/setup_wizard.js,Please select at least one domain.,Pilih setidaknya satu bidang usaha.
DocType: Dependent Task,Dependent Task,Tugas Terkait
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,Supplies made to UIN holders,Persediaan dibuat untuk pemegang UIN
DocType: Shopify Settings,Shopify Tax Account,Akun Pajak Shopify
apps/erpnext/erpnext/stock/doctype/item/item.py,Conversion factor for default Unit of Measure must be 1 in row {0},Faktor konversi untuk Unit standar Ukur harus 1 berturut-turut {0}
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,Leave of type {0} cannot be longer than {1},Cuti jenis {0} tidak boleh lebih dari {1}
DocType: Delivery Trip,Optimize Route,Optimalkan Rute
DocType: Manufacturing Settings,Try planning operations for X days in advance.,Coba operasi untuk hari X perencanaan di muka.
apps/erpnext/erpnext/hr/doctype/staffing_plan/staffing_plan.py,"{0} vacancies and {1} budget for {2} already planned for subsidiary companies of {3}. \
				You can only plan for upto {4} vacancies and and budget {5} as per staffing plan {6} for parent company {3}.",{0} lowongan dan {1} anggaran untuk {2} sudah direncanakan untuk anak dari perusahaan {3}. \ Anda hanya dapat berencana hingga {4} lowongan dan menganggarkan {5} sesuai rencana kepegawaian {6} untuk perusahaan induk {3}.
DocType: HR Settings,Stop Birthday Reminders,Stop Pengingat Ulang Tahun
apps/erpnext/erpnext/hr/doctype/payroll_entry/payroll_entry.py,Please set Default Payroll Payable Account in Company {0},Silahkan mengatur standar Payroll Hutang Akun di Perusahaan {0}
DocType: Pricing Rule Brand,Pricing Rule Brand,Merek Aturan Harga
DocType: Amazon MWS Settings,Get financial breakup of Taxes and charges data by Amazon ,Dapatkan perpisahan keuangan dari Pajak dan biaya data oleh Amazon
DocType: SMS Center,Receiver List,Daftar Penerima
DocType: Pricing Rule,Rule Description,Deskripsi Aturan
apps/erpnext/erpnext/accounts/page/pos/pos.js,Search Item,Cari Barang
DocType: Program,Allow Self Enroll,Izinkan Self Enroll
DocType: Payment Schedule,Payment Amount,Jumlah Pembayaran
apps/erpnext/erpnext/hr/doctype/compensatory_leave_request/compensatory_leave_request.py,Half Day Date should be in between Work From Date and Work End Date,Tanggal Setengah Hari harus di antara Tanggal Awal Kerja dan Tanggal Akhir Kerja
DocType: Healthcare Settings,Healthcare Service Items,Item Layanan Perawatan Kesehatan
apps/erpnext/erpnext/stock/doctype/quick_stock_balance/quick_stock_balance.py,Invalid Barcode. There is no Item attached to this barcode.,Kode Batang Tidak Valid. Tidak ada Barang yang terlampir pada barcode ini.
apps/erpnext/erpnext/stock/report/supplier_wise_sales_analytics/supplier_wise_sales_analytics.py,Consumed Amount,Jumlah Dikonsumsi
apps/erpnext/erpnext/accounts/report/cash_flow/cash_flow.py,Net Change in Cash,Perubahan Bersih dalam Kas
DocType: Assessment Plan,Grading Scale,Skala penilaian
apps/erpnext/erpnext/stock/doctype/item/item.py,Unit of Measure {0} has been entered more than once in Conversion Factor Table,Satuan Ukur {0} telah dimasukkan lebih dari sekali dalam Faktor Konversi Tabel
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Stock In Hand,Persediaan Di Tangan
apps/erpnext/erpnext/hr/doctype/employee_benefit_application/employee_benefit_application.py,"Please add the remaining benefits {0} to the application as \
				pro-rata component",Tambahkan sisa tunjangan {0} ke pengajuan sebagai \ komponen pro-rata
apps/erpnext/erpnext/regional/italy/utils.py,Please set Fiscal Code for the public administration '%s',Harap setel Kode Fisk untuk administrasi publik '% s'
apps/erpnext/erpnext/projects/report/project_wise_stock_tracking/project_wise_stock_tracking.py,Cost of Issued Items,Biaya Produk Dikeluarkan
DocType: Healthcare Practitioner,Hospital,RSUD
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.js,Quantity must not be more than {0},Kuantitas tidak boleh lebih dari {0}
DocType: Travel Request Costing,Funded Amount,Jumlah Didanai
apps/erpnext/erpnext/accounts/report/balance_sheet/balance_sheet.py,Previous Financial Year is not closed,Tahun Keuangan sebelumnya belum ditutup
DocType: Practitioner Schedule,Practitioner Schedule,Jadwal Praktisi
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.py,Age (Days),Umur (Hari)
DocType: Instructor,EDU-INS-.YYYY.-,EDU-INS-.YYYY.-
DocType: Additional Salary,Additional Salary,Gaji Tambahan
DocType: Quotation Item,Quotation Item,Item Penawaran
DocType: Customer,Customer POS Id,Id POS Pelanggan
apps/erpnext/erpnext/education/utils.py,Student with email {0} does not exist,Siswa dengan email {0} tidak ada
DocType: Account,Account Name,Nama Akun
apps/erpnext/erpnext/hr/doctype/salary_structure/salary_structure.js,From Date cannot be greater than To Date,Tanggal Mulai tidak bisa setelah Tanggal Akhir
apps/erpnext/erpnext/stock/doctype/serial_no/serial_no.py,Serial No {0} quantity {1} cannot be a fraction,Nomor Seri {0} kuantitas {1} tak bisa menjadi pecahan
DocType: Pricing Rule,Apply Discount on Rate,Terapkan Diskon pada Harga
DocType: Tally Migration,Tally Debtors Account,Akun Debitur Tally
DocType: Pricing Rule,Promotional Scheme,Skema Promosi
apps/erpnext/erpnext/erpnext_integrations/doctype/woocommerce_settings/woocommerce_settings.py,Please enter Woocommerce Server URL,Silakan masukkan URL Woocommerce Server
DocType: GSTR 3B Report,September,September
DocType: Purchase Order Item,Supplier Part Number,Nomor Suku Cadang Pemasok
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.py,Conversion rate cannot be 0 or 1,Tingkat konversi tidak bisa 0 atau 1
apps/erpnext/erpnext/accounts/page/bank_reconciliation/linked_payment_header.html,Payment Name,Nama Pembayaran
DocType: Share Balance,To No,Sampai No.
apps/erpnext/erpnext/hr/doctype/employee_onboarding/employee_onboarding.py,All the mandatory Task for employee creation hasn't been done yet.,Semua Tugas wajib untuk penciptaan karyawan belum selesai.
apps/erpnext/erpnext/stock/doctype/material_request/material_request.py,{0} {1} is cancelled or stopped,{0} {1} dibatalkan atau dihentikan
DocType: Accounts Settings,Credit Controller,Kredit Kontroller
DocType: Loan,Applicant Type,Jenis Pemohon
DocType: Purchase Invoice,03-Deficiency in services,03-Kekurangan layanan
DocType: Healthcare Settings,Default Medical Code Standard,Standar Kode Standar Medis
DocType: Purchase Invoice Item,HSN/SAC,HSN/SAC
DocType: Project Template Task,Project Template Task,Tugas Template Proyek
DocType: Accounts Settings,Over Billing Allowance (%),Kelonggaran Penagihan Berlebih (%)
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.py,Purchase Receipt {0} is not submitted,Nota Penerimaan {0} tidak Terkirim
DocType: Company,Default Payable Account,Akun Hutang Standar
apps/erpnext/erpnext/config/website.py,"Settings for online shopping cart such as shipping rules, price list etc.","Pengaturan untuk keranjang belanja online seperti aturan pengiriman, daftar harga dll"
DocType: Purchase Receipt,MAT-PRE-.YYYY.-,MAT-PRE-.YYYY.-
apps/erpnext/erpnext/controllers/website_list_for_contact.py,{0}% Billed,{0}% Ditagih
apps/erpnext/erpnext/stock/report/stock_projected_qty/stock_projected_qty.py,Reserved Qty,Jumlah Ditahan
DocType: Party Account,Party Account,Akun Party
apps/erpnext/erpnext/hr/doctype/staffing_plan/staffing_plan.py,Please select Company and Designation,Silakan pilih Perusahaan dan Penunjukan
apps/erpnext/erpnext/config/settings.py,Human Resources,Personalia
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Upper Income,Penghasilan Tinggi
DocType: Item Manufacturer,Item Manufacturer,Produsen Item
apps/erpnext/erpnext/public/js/call_popup/call_popup.js,Create New Lead,Buat Prospek Baru
DocType: BOM Operation,Batch Size,Ukuran Batch
apps/erpnext/erpnext/education/doctype/student_applicant/student_applicant.js,Reject,Menolak
DocType: Journal Entry Account,Debit in Company Currency,Debet di Valuta Perusahaan
apps/erpnext/erpnext/accounts/doctype/chart_of_accounts_importer/chart_of_accounts_importer.js,Import Successfull,Impor Berhasil
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py,"Material Request not created, as quantity for Raw Materials already available.","Permintaan Material tidak dibuat, karena kuantitas untuk Bahan Baku sudah ada."
DocType: BOM Item,BOM Item,Komponen BOM
DocType: Appraisal,For Employee,Untuk Karyawan
DocType: Leave Control Panel,Designation (optional),Penunjukan (opsional)
apps/erpnext/erpnext/stock/stock_ledger.py,"Valuation rate not found for the Item {0}, which is required to do accounting entries for {1} {2}. If the item is transacting as a zero valuation rate item in the {1}, please mention that in the {1} Item table. Otherwise, please create an incoming stock transaction for the item or mention valuation rate in the Item record, and then try submiting / cancelling this entry.","Nilai Valuasi tidak ditemukan untuk Item {0}, yang diperlukan untuk membuat entri pembukuan bagi {1} {2}. Jika item ditransaksikan sebagai item dengan nilai nol di {1}, harap sebutkan di tabel {1} Item. Jika tidak, silakan buat transaksi stok masuk untuk item atau sebutkan nilai dalam catatan Item, dan kemudian coba kirim / batalkan entri ini."
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Row {0}: Advance against Supplier must be debit,Baris {0}: Uang Muka untuk Pemasok harus debet
DocType: Company,Default Values,Nilai Standar
DocType: Certification Application,INR,INR
apps/erpnext/erpnext/erpnext_integrations/doctype/tally_migration/tally_migration.py,Processing Party Addresses,Memproses Alamat Pihak
DocType: Woocommerce Settings,Creation User,Pengguna Pembuatan
DocType: Quality Procedure,Quality Procedure,Prosedur Kualitas
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.js,Please check the error log for details about the import errors,Silakan periksa log error untuk rincian tentang kesalahan impor
DocType: Bank Transaction,Reconciled,Sudah Rekonsiliasi
DocType: Expense Claim,Total Amount Reimbursed,Jumlah Total Penggantian
apps/erpnext/erpnext/hr/doctype/vehicle/vehicle_dashboard.py,This is based on logs against this Vehicle. See timeline below for details,Hal ini didasarkan pada log terhadap kendaraan ini. Lihat timeline di bawah untuk rincian
apps/erpnext/erpnext/hr/doctype/additional_salary/additional_salary.py,Payroll date can not be less than employee's joining date,Tanggal penggajian tidak boleh kurang dari tanggal bergabung karyawan
DocType: Pick List,Item Locations,Lokasi Barang
apps/erpnext/erpnext/accounts/doctype/payment_order/payment_order.py,{0} {1} created,{0} {1} dibuat
apps/erpnext/erpnext/hr/doctype/job_opening/job_opening.py,"Job Openings for designation {0} already open \
					or hiring completed as per Staffing Plan {1}",Lowongan Kerja untuk penunjukan {0} sudah terbuka \ atau perekrutan selesai sesuai Rencana Kepegawaian {1}
apps/erpnext/erpnext/public/js/hub/pages/PublishedItems.vue,You can publish upto 200 items.,Anda dapat menerbitkan hingga 200 item.
DocType: Vital Signs,Constipated,Sembelit
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.py,Against Supplier Invoice {0} dated {1},Terhadap Faktur Pemasok {0} tertanggal {1}
DocType: Customer,Default Price List,Daftar Harga Standar
apps/erpnext/erpnext/assets/doctype/asset/asset.py,Asset Movement record {0} created,Data Perpindahan Aset {0} dibuat
apps/erpnext/erpnext/accounts/doctype/fiscal_year/fiscal_year.py,You cannot delete Fiscal Year {0}. Fiscal Year {0} is set as default in Global Settings,Anda tidak bisa menghapus Tahun Anggaran {0}. Tahun Fiskal {0} diatur sebagai standar di Pengaturan Global
DocType: Share Transfer,Equity/Liability Account,Akun Ekuitas/Kewajiban
apps/erpnext/erpnext/setup/doctype/customer_group/customer_group.py,A customer with the same name already exists,Pelanggan dengan nama yang sama sudah ada
apps/erpnext/erpnext/hr/doctype/payroll_entry/payroll_entry.js,This will submit Salary Slips and create accrual Journal Entry. Do you want to proceed?,Ini akan mengirimkan Slip Gaji dan membuat Entri Jurnal akrual. Apakah anda ingin melanjutkan?
DocType: Purchase Invoice,Total Net Weight,Total Berat Bersih
DocType: Purchase Order,Order Confirmation No,Konfirmasi Pesanan No
apps/erpnext/erpnext/accounts/report/gross_and_net_profit_report/gross_and_net_profit_report.py,Net Profit,Laba Bersih
DocType: Purchase Invoice,Eligibility For ITC,Kelayakan Untuk ITC
DocType: Student Applicant,EDU-APP-.YYYY.-,EDU-APP-.YYYY.-
DocType: Journal Entry,Entry Type,Jenis Entri
,Customer Credit Balance,Saldo Kredit Pelanggan
apps/erpnext/erpnext/accounts/report/cash_flow/cash_flow.py,Net Change in Accounts Payable,Perubahan Bersih Akun Hutang
apps/erpnext/erpnext/selling/doctype/customer/customer.py,Credit limit has been crossed for customer {0} ({1}/{2}),Batas kredit telah dilewati untuk pelanggan {0} ({1}/{2})
apps/erpnext/erpnext/setup/doctype/authorization_rule/authorization_rule.py,Customer required for 'Customerwise Discount',Pelanggan harus diisi untuk 'Diskon Pelanggan'
apps/erpnext/erpnext/config/accounting.py,Update bank payment dates with journals.,Perbarui tanggal pembayaran bank dengan jurnal.
,Billed Qty,Qty Ditagih
apps/erpnext/erpnext/stock/doctype/item/item_dashboard.py,Pricing,Harga
DocType: Employee,Attendance Device ID (Biometric/RF tag ID),ID Perangkat Kehadiran (ID tag Biometrik/RF)
DocType: Quotation,Term Details,Rincian Ketentuan
DocType: Item,Over Delivery/Receipt Allowance (%),Kelebihan Pengiriman / Penerimaan Kwitansi (%)
DocType: Employee Incentive,Employee Incentive,Insentif Karyawan
apps/erpnext/erpnext/education/doctype/student_group/student_group.py,Cannot enroll more than {0} students for this student group.,tidak bisa mendaftar lebih dari {0} siswa untuk kelompok siswa ini.
apps/erpnext/erpnext/templates/print_formats/includes/total.html,Total (Without Tax),Total (Tanpa Pajak)
apps/erpnext/erpnext/crm/report/campaign_efficiency/campaign_efficiency.py,Lead Count,Jumlah Prospek
apps/erpnext/erpnext/stock/report/item_price_stock/item_price_stock.py,Stock Available,Stok Tersedia
DocType: Manufacturing Settings,Capacity Planning For (Days),Perencanaan Kapasitas Untuk (Hari)
apps/erpnext/erpnext/buying/doctype/supplier/supplier_dashboard.py,Procurement,Pembelian
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py,None of the items have any change in quantity or value.,Tak satu pun dari item memiliki perubahan kuantitas atau nilai.
apps/erpnext/erpnext/education/doctype/program_enrollment_tool/program_enrollment_tool.py,Mandatory field - Program,Field wajib - Program
DocType: Special Test Template,Result Component,Komponen Hasil
apps/erpnext/erpnext/maintenance/doctype/maintenance_visit/maintenance_visit.js,Warranty Claim,Garansi Klaim
,Lead Details,Rincian Prospek
DocType: Volunteer,Availability and Skills,Ketersediaan dan Keterampilan
DocType: Salary Slip,Loan repayment,Pembayaran pinjaman
DocType: Share Transfer,Asset Account,Akun Aset
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.js,New release date should be in the future,Tanggal rilis baru harus di masa depan
